TC3 scheduled/num_streams 114/173 = 65.9%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 24, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 100us bandwidth: 6250.0bytes k: 2 (92.0, '%', 'unscheduled', 4, 'total', 52, 'e2e too large', [], 'bandwidth violation', [106, 125, 134, 136])
 cycle_time: 50us bandwidth: 3125.0bytes k: 1 (43.0, '%', 'unscheduled', 55, 'total', 97, 'e2e too large', [], 'bandwidth violation', [16, 60, 29, 148, 55, 85, 80, 13, 104, 14, 156, 91, 81, 64, 18, 89, 172, 116, 88, 59, 7, 48, 149, 79, 108, 27, 43, 94, 23, 40, 95, 11, 58, 30, 114, 112, 127, 8, 25, 66, 107, 100, 71, 9, 130, 82, 171, 121, 47, 128, 39, 111, 6, 131, 65])
Stream: id 45 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_1_2 | period 200.0| deadline 31.08 | size 913| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6']
Stream: id 30 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_1_2 | period 40.0| deadline 31.16 | size 562| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5', 'q7']
Stream: id 108 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_2 | period 40.0| deadline 31.16 | size 736| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5', 'q7']
Stream: id 90 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_4_2 | period 200.0| deadline 31.2 | size 315| injection delay:1['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q6', 'q5', 'q6', 'q5', 'q7']
Stream: id 124 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_1 | period 200.0| deadline 31.56 | size 191| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q7']
Stream: id 43 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_2 | period 100.0| deadline 31.68 | size 1275| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_2']['q7', 'q6']
Stream: id 149 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_0_0 | period 40.0| deadline 31.8 | size 770| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q5', 'q7']
Stream: id 79 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_1_2 | period 200.0| deadline 31.92 | size 756| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q7', 'q6']
Stream: id 120 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_0 | period 200.0| deadline 32.0 | size 458| injection delay:1['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q6', 'q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 129 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_4_1 | period 100.0| deadline 32.08 | size 847| injection delay:1['node0_0_4_3', 'sw_0_4', 'node0_0_4_1']['q6']
Stream: id 95 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_2 | period 40.0| deadline 32.16 | size 789| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_2']['q7', 'q6']
Stream: id 172 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_1 | period 100.0| deadline 32.16 | size 1290| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q5']
Stream: id 7 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_1 | period 100.0| deadline 32.32 | size 1262| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5', 'q7']
Stream: id 75 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_0 | period 40.0| deadline 32.44 | size 189| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5']
Stream: id 16 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_0 | period 200.0| deadline 32.6 | size 1387| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5']
Stream: id 130 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_2_2 | period 100.0| deadline 32.92 | size 1308| injection delay:0['node0_0_2_3', 'sw_0_2', 'node0_0_2_2']['q6']
Stream: id 88 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_1 | period 40.0| deadline 32.96 | size 1380| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5', 'q7']
Stream: id 72 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_1 | period 100.0| deadline 33.2 | size 638| injection delay:1['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_1']['q6', 'q5']
Stream: id 92 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_4_1 | period 200.0| deadline 33.48 | size 638| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q6']
